UF,SP
Cidade,PRADOPOLIS
Nome Posto,PRADOPOLIS
Latitude,-21.366666666666667
Longitude,-48.06666666666667
Codigo,2148020
Qtd. Anos,48
Ano,Maxima
1966,92
1967,78.6
1968,58
1969,63.5
1970,74.9
1971,61.5
1972,111.8
1973,61.2
1974,89.1
1975,100.3
1976,69.9
1977,74.7
1978,82.4
1979,70.9
1980,95.4
1981,68.2
1982,73.1
1983,102.5
1984,65
1985,96.3
1986,99.6
1987,51.3
1988,60.3
1989,54
1990,70.2
1991,76.1
1992,63.8
1993,61.6
1994,45.6
1995,97.2
1996,64.6
1997,122.6
1998,46.8
1999,84.2
2000,122.1
2001,88.4
2002,81.7
2004,100.9
2005,93.7
2006,64.5
2007,77.5
2008,58.7
2009,88.3
2010,83.1
2011,72.6
2012,77.8
2013,82.7
2014,53.8
