UF,SP
Cidade,SAO JOSE DOS CAMPOS
Nome Posto,SAO JOSE DOS CAMPOS
Latitude,-23.183333333333334
Longitude,-45.88333333333333
Codigo,2345019
Qtd. Anos,62
Ano,Maxima
1942,38.3
1943,85.7
1944,81
1945,67.4
1946,90
1947,78.5
1948,44
1949,92.5
1950,54.5
1951,87.9
1952,83.5
1953,41.7
1954,62
1955,48.6
1956,56.3
1957,68.9
1958,72
1959,77.4
1960,66.7
1961,52.3
1962,63.9
1963,45.4
1964,58.6
1965,45.4
1966,34.2
1967,46.4
1968,34.3
1969,35.2
1970,35.4
1971,50.5
1972,42.2
1973,34.2
1974,43.2
1975,60.2
1976,50.4
1977,90.2
1978,60.9
1979,70.3
1980,54.2
1981,80.6
1982,109.1
1983,64.8
1984,58
1985,51.6
1986,70.8
1987,86.1
1988,68.4
1989,44.3
1990,58.1
1991,86.6
1992,55.4
1993,58.9
1994,83
1995,81
1996,42.1
1997,81.9
1998,64.6
1999,59.8
2000,93.8
2001,77.2
2002,65.3
2003,78.3
