UF,SP
Cidade,ITIRAPUA
Nome Posto,ITIRAPUA
Latitude,-20.633333333333333
Longitude,-47.21666666666667
Codigo,2047020
Qtd. Anos,56
Ano,Maxima
1952,64.5
1953,89
1954,24
1955,45.5
1956,42
1957,85
1965,62.1
1966,71
1967,81
1968,63.2
1969,105.6
1970,60.5
1971,81
1972,150.8
1973,79.3
1974,59.4
1975,122.6
1976,54.8
1977,76
1978,103.4
1979,54.7
1980,84.3
1981,100.3
1982,104.3
1983,158.4
1984,72.5
1985,91.5
1986,57
1987,91.8
1988,49.9
1989,97.2
1990,77.4
1991,85.6
1992,127.1
1993,71.9
1994,65.8
1995,115.7
1996,87.9
1997,156.2
1998,62.5
1999,126.4
2000,88.5
2001,77.5
2002,76
2003,78
2004,80
2005,91
2006,110
2007,84
2008,124
2009,110
2010,96
2011,112
2012,78
2013,80.2
2014,62
