UF,SP
Cidade,GETULINA
Nome Posto,FAZENDA BOM RETIRO
Latitude,-21.7
Longitude,-50.3
Codigo,2150029
Qtd. Anos,72
Ano,Maxima
1946,33.9
1947,72.4
1948,43
1949,86.2
1950,54.5
1951,64.3
1952,84.3
1953,43.5
1954,70.2
1955,67.3
1956,42
1957,50.6
1958,88
1959,67
1960,118
1961,122
1962,80.2
1963,56.3
1964,70.2
1965,100.2
1966,127
1967,100.5
1968,96.4
1969,97.3
1970,118.5
1971,69.6
1972,78
1973,64
1974,59.4
1975,79.7
1976,86.1
1977,83.1
1978,67.6
1979,117.9
1980,158.7
1981,80
1982,65.5
1983,60.5
1984,70
1985,58.8
1986,81.6
1987,85.2
1988,72.7
1989,61.2
1990,72.1
1991,76.7
1992,95.4
1993,76.4
1994,61.5
1995,121.2
1996,68.3
1997,81.5
1998,85.7
1999,90.8
2000,108.6
2001,73.6
2002,57.3
2003,90.8
2004,145
2005,73.9
2006,59.9
2007,123.2
2009,98.3
2010,53.5
2011,63
2012,71.2
2013,87.9
2014,68.6
2015,92
2016,92
2017,56.7
2018,76
