UF,SP
Cidade,GARCA
Nome Posto,GARCA
Latitude,-22.2
Longitude,-49.65
Codigo,2249006
Qtd. Anos,81
Ano,Maxima
1938,53.8
1939,71.6
1940,75.8
1941,105
1942,117
1943,54.8
1944,45.5
1945,104.6
1946,224
1947,45
1948,96
1949,108
1950,140
1951,84
1952,89
1953,101.2
1954,100
1955,61
1956,90.1
1957,86
1958,85.5
1959,81.5
1960,82.5
1961,87.4
1962,93
1963,95
1964,84
1965,60
1966,110
1967,68.3
1968,71.3
1969,65.8
1970,67
1971,115
1972,112.5
1973,87.5
1974,104.5
1975,70.7
1976,103.9
1977,178
1978,83.2
1979,64.5
1980,61.5
1981,103.4
1982,82.7
1983,95.1
1984,67.5
1985,63.2
1986,76.6
1987,126.5
1988,136.4
1989,93.1
1990,71.8
1991,123.9
1992,71.6
1993,83
1994,103.2
1995,87.5
1996,108.1
1997,82
1998,79.4
1999,77.9
2000,101.4
2001,87.7
2002,71.5
2003,89.5
2004,79.5
2005,64
2006,70.3
2007,90
2008,62.6
2009,94.2
2010,75.5
2011,93
2012,125
2013,110
2014,62
2015,80
2016,96
2017,81
2018,98
