UF,SP
Cidade,SAO VICENTE
Nome Posto,HUMAITA (SAMARITA)          .
Latitude,-23.95
Longitude,-46.45
Codigo,2346333
Qtd. Anos,61
Ano,Maxima
1939,63.1
1940,206
1941,114.2
1942,90.3
1943,130
1944,156.4
1945,94.6
1946,105
1947,131
1948,72.7
1949,87.1
1950,80.3
1966,68
1967,90.8
1968,95.2
1969,96.4
1970,94.6
1971,280
1972,139
1973,384.8
1974,83.5
1975,163.5
1976,187.4
1977,288.2
1978,75.8
1979,99.4
1980,357.7
1981,154.4
1982,115.6
1983,192.4
1984,87.9
1985,118.4
1986,177.5
1987,110.7
1988,248.4
1989,124.7
1990,191.3
1991,198.5
1992,100
1993,73.3
1994,110.6
1995,170.4
1996,196.1
1997,70.4
1998,124.5
1999,99.2
2000,465.3
2001,87.5
2002,110
2003,190.2
2004,106.6
2005,99.5
2006,140
2007,102
2008,82.3
2009,87
2010,104
2011,135.6
2012,148.9
2013,177
2014,90.3
