UF,SP
Cidade,PEREIRA BARRETO
Nome Posto,FAZENDA SANTA ROSA
Latitude,-20.416666666666668
Longitude,-51.1
Codigo,2051003
Qtd. Anos,37
Ano,Maxima
1965,56.4
1966,119
1967,81
1968,94
1969,66
1970,66
1971,46.5
1972,86
1973,71.7
1974,68.8
1975,102.7
1976,68.9
1977,79.2
1978,72.6
1979,90.8
1980,155
1981,110.2
1982,58.2
1983,67.5
1984,66.7
1985,61
1986,101.1
1987,77
1988,70.1
1989,134.2
1990,75.7
1991,120.3
1992,61.5
1993,66.5
1994,70.1
1995,135
1996,97.2
1997,108.4
1998,157.5
1999,88.2
2000,69
2001,45.8
