UF,SP
Cidade,BATATAIS
Nome Posto,BATATAIS
Latitude,-20.883333333333333
Longitude,-47.61666666666667
Codigo,2047029
Qtd. Anos,76
Ano,Maxima
1943,57.7
1944,84.6
1945,81.3
1946,75.4
1947,97.1
1948,68.8
1949,79.6
1950,142.8
1951,70.1
1952,108.8
1953,70.8
1954,100.4
1955,78.9
1956,160.1
1957,74.2
1958,90.1
1959,73.6
1960,64.5
1961,71.1
1962,134.5
1963,54.8
1964,72
1965,61.5
1966,110
1967,80
1968,60.1
1969,70
1970,70.4
1971,78.5
1972,55
1973,89.5
1974,63.5
1975,87.6
1976,66.3
1977,56.2
1978,93.5
1979,109
1980,80.4
1981,150.3
1982,117.2
1983,100.3
1984,112.6
1985,109.3
1986,69.1
1987,80.7
1988,65.3
1989,107.6
1990,78.9
1991,64.9
1992,73.1
1993,89.3
1994,107.5
1995,105.3
1996,65.6
1997,84.1
1998,58
1999,64.7
2000,76.7
2001,103.3
2002,64.2
2003,79
2004,85.1
2005,79.2
2006,83.2
2007,61.2
2008,113.3
2009,64.1
2010,71.8
2011,93.7
2012,70
2013,88.2
2014,40.2
2015,200.8
2016,84
2017,89.1
2018,52.2
