UF,SP
Cidade,JUQUIA
Nome Posto,SALTO DO CEDRO
Latitude,-24.366666666666667
Longitude,-47.55
Codigo,2447019
Qtd. Anos,38
Ano,Maxima
1961,70.5
1962,100.3
1963,90.1
1964,80.1
1965,102.1
1966,50.4
1967,100.1
1968,140.1
1969,246.5
1970,98.2
1971,168.5
1972,98.3
1973,122.5
1974,144.4
1975,94.3
1976,119.4
1977,170.5
1978,79.6
1979,119.3
1980,362
1981,76.5
1982,94.5
1983,99.4
1984,134.8
1985,120
1986,194.3
1987,94.8
1988,121.1
1989,148.3
1990,87.7
1991,170
1992,68.3
1993,209.7
1994,121.8
1995,245.7
1996,281.5
1997,99.7
1998,124.3
