UF,SP
Cidade,MONTE APRAZIVEL
Nome Posto,MONTE APRAZIVEL
Latitude,-20.766666666666666
Longitude,-49.7
Codigo,2049019
Qtd. Anos,47
Ano,Maxima
1968,63.6
1969,59.1
1970,201.2
1971,103.6
1972,88.5
1973,107.5
1974,138
1975,97.7
1976,71.6
1977,122.5
1978,109.6
1979,51.8
1980,55.6
1981,61.2
1982,81.2
1983,101
1984,62.4
1985,115.5
1986,100.2
1987,41.6
1988,98.5
1989,84.8
1990,72.3
1991,69
1992,51.7
1993,63.5
1994,75.5
1995,73.8
1996,94.8
1997,89.7
1998,58.5
1999,91.9
2000,109.3
2001,38.3
2002,104
2003,62.4
2004,153
2005,87.7
2006,60.8
2007,81.1
2008,106.2
2009,53.7
2010,55.1
2011,68.7
2012,65.2
2013,73.2
2014,70
