UF,SP
Cidade,TATUI
Nome Posto,BAIRRO SARAPU
Latitude,-23.4
Longitude,-47.766666666666666
Codigo,2347027
Qtd. Anos,58
Ano,Maxima
1957,80.7
1958,57.3
1959,65.6
1960,59.6
1961,46
1962,61.2
1963,61.5
1964,56.7
1965,53.4
1966,100.5
1967,64.8
1968,83
1969,43.6
1970,57.5
1971,99.7
1972,96.8
1973,64
1974,70.2
1975,111
1976,81.5
1977,63.6
1978,53.7
1979,63.3
1980,63.5
1981,68.3
1982,115.3
1983,84
1984,52.4
1985,84.2
1986,71.6
1987,85.8
1988,61.6
1989,69.4
1990,58
1991,78.6
1992,42.8
1993,57.8
1994,44.3
1995,104.3
1996,54.5
1997,101.9
1998,57.1
1999,72.7
2000,81.4
2001,48.7
2002,57.9
2003,41.5
2004,35
2005,67.1
2006,63.5
2007,78.2
2008,68.6
2009,72.4
2010,54
2011,56.1
2012,81.5
2013,69.4
2014,46
