UF,SP
Cidade,ANGATUBA
Nome Posto,ENGENHEIRO HERMILO
Latitude,-23.6
Longitude,-48.45
Codigo,2348022
Qtd. Anos,60
Ano,Maxima
1939,83.6
1940,48
1941,58.9
1942,44.9
1943,159
1944,80.6
1945,69
1946,59.2
1947,70.1
1948,148.1
1949,60
1950,75.4
1951,26.5
1952,70
1953,60
1955,60.4
1956,0.8
1957,23.5
1958,50
1959,52.4
1960,50.6
1961,130
1962,44.8
1963,45.4
1964,73.7
1965,81.5
1966,70.7
1967,190.7
1968,64
1969,37.6
1970,76.6
1971,43.9
1972,67.9
1973,84.8
1974,69
1975,97.5
1976,73.2
1977,76.2
1978,71.2
1979,61.2
1980,63.2
1981,71.1
1982,70.9
1983,65.7
1984,47.3
1985,82.2
1986,118.1
1987,83.3
1988,92.8
1989,71.8
1990,64.7
1991,87.7
1992,96.6
1993,91.5
1994,70.5
1995,72.5
1996,52.9
1997,58.6
1998,86.5
2004,8.7
