UF,SP
Cidade,SALESOPOLIS
Nome Posto,USINA SALESOPOLIS
Latitude,-23.566666666666666
Longitude,-45.833333333333336
Codigo,2345048
Qtd. Anos,78
Ano,Maxima
1928,53.4
1929,90.4
1930,56.8
1931,56
1932,95.8
1933,92.6
1934,78.4
1935,85
1936,63
1937,49.8
1938,68
1939,51.8
1940,68.4
1941,67.8
1942,45.2
1943,44
1944,77.8
1945,60.6
1946,88
1947,64.4
1948,73.6
1949,64.6
1950,62.4
1951,62.6
1952,81
1953,60
1954,158
1955,108.2
1956,61
1957,57.6
1958,62.8
1959,81.2
1960,68.4
1961,79
1962,94
1963,38
1964,46.2
1965,124.8
1966,93.8
1967,89
1968,78.4
1969,41.4
1970,86.4
1971,93.2
1972,50.7
1973,58.6
1974,81
1975,75.7
1976,72.8
1977,114.2
1978,78.8
1979,78.8
1980,141.5
1981,58.6
1982,55.7
1983,91.5
1984,76.6
1985,55.1
1986,81.2
1987,117.6
1988,78.4
1989,48.8
1990,57.9
1991,105.2
1992,68.8
1993,55.6
1994,84.9
1995,166.4
1996,65.8
1997,64.2
1998,58
1999,75.5
2000,73.5
2001,66.5
2002,86
2003,55.7
2004,82.7
2009,38
