UF,SP
Cidade,SETE BARRAS
Nome Posto,RIBEIRAO DA SERRA
Latitude,-24.283333333333335
Longitude,-47.95
Codigo,2447012
Qtd. Anos,54
Ano,Maxima
1961,138.6
1962,99.3
1963,124.3
1964,70.1
1965,114.8
1966,80.6
1967,100.8
1968,90.5
1969,123.6
1970,92.5
1971,113.2
1972,102.6
1973,101.7
1974,103.1
1975,118.8
1976,218
1977,143.1
1978,89.4
1979,81.5
1980,72.4
1981,140.3
1982,61.8
1983,127.7
1984,95.1
1985,62.5
1986,161.1
1987,122.3
1988,154.5
1989,148.6
1990,106.2
1991,159.1
1992,96.2
1993,111.7
1994,104.1
1995,155.2
1996,92.8
1997,97.5
1998,143.3
1999,163.8
2000,102.2
2001,124.9
2002,145.2
2003,72.6
2004,189.1
2005,127.2
2006,92.6
2007,96.3
2008,91.6
2009,85.6
2010,93.6
2011,123
2012,129.6
2013,96.6
2014,112.3
