UF,SP
Cidade,LUTECIA
Nome Posto,TABAJARA
Latitude,-22.466666666666665
Longitude,-50.36666666666667
Codigo,2250047
Qtd. Anos,47
Ano,Maxima
1972,128.6
1973,87.5
1974,90.4
1975,83.8
1976,82.3
1977,121.6
1978,51
1979,68.5
1980,69.5
1981,67.5
1982,68.3
1983,122.3
1984,121
1985,59.3
1986,85.7
1987,56.1
1988,97.4
1989,98.7
1990,112.3
1991,88.5
1992,56.5
1993,81.3
1994,47
1995,99.5
1996,80.8
1997,81.2
1998,91.6
1999,134.4
2000,160.7
2001,93.6
2002,80.8
2003,81.5
2004,73.6
2005,80.8
2006,85.7
2007,92.5
2008,54.3
2009,104.6
2010,56.8
2011,66.2
2012,64.8
2013,120.2
2014,71.3
2015,84.6
2016,111.3
2017,114.4
2018,55.8
