UF,SP
Cidade,GUARARAPES
Nome Posto,FAZENDA SAO JOSE
Latitude,-21.25
Longitude,-50.71666666666667
Codigo,2150018
Qtd. Anos,39
Ano,Maxima
1962,85.3
1963,80
1964,110
1965,72
1966,73.8
1967,69.5
1968,61.4
1969,36
1970,70.2
1971,71.1
1972,86.6
1973,73
1974,91.1
1975,96
1976,82.3
1977,110
1978,74.7
1979,72.7
1980,60.3
1981,58.9
1982,50.5
1983,85.2
1984,184.7
1985,80.3
1986,57.7
1987,56.3
1988,86.2
1989,71
1990,62.1
1991,86.2
1992,84.1
1993,70.8
1994,118.5
1995,71.2
1996,143.1
1997,84.5
1998,109.7
1999,93.7
2000,62
