UF,SP
Cidade,CEDRAL
Nome Posto,CEDRAL
Latitude,-20.916666666666668
Longitude,-49.3
Codigo,2049051
Qtd. Anos,51
Ano,Maxima
1964,109.2
1965,68
1966,63
1967,80.5
1968,54
1969,57
1970,82.3
1971,79.2
1972,90.1
1973,84.3
1974,102.1
1975,101.6
1976,168.7
1977,83.6
1978,108.5
1979,90.1
1980,84.5
1981,99.7
1982,169.4
1983,90
1984,79.3
1985,105.2
1986,158.2
1987,78.1
1988,77.5
1989,73
1990,56.7
1991,85.1
1992,93.8
1993,125.2
1994,77.7
1995,95.6
1996,59.4
1997,85.9
1998,114.2
1999,84.1
2000,112.4
2001,119
2002,191
2003,93
2004,134
2005,93.1
2006,118
2007,93
2008,87
2009,113
2010,79.2
2011,89
2012,99.9
2013,62.4
2014,65.8
