UF,SP
Cidade,MOCOCA
Nome Posto,USINA LIMOEIRO
Latitude,-21.633333333333333
Longitude,-47.016666666666666
Codigo,2147057
Qtd. Anos,37
Ano,Maxima
1961,65
1962,67
1963,74.3
1964,86.3
1965,92.8
1966,82.5
1967,50.2
1968,57.1
1969,71.5
1970,94.6
1971,63.2
1972,67.4
1973,75.6
1974,78
1975,97.7
1976,66.3
1977,182.1
1978,45.3
1979,60.4
1980,69.9
1981,111.5
1982,56.7
1983,69.1
1984,66.1
1985,69.8
1986,151.7
1987,79.4
1988,65.4
1989,80.4
1990,141.7
1991,94.6
1992,61.9
1993,55.1
1994,82.9
1995,86.5
1996,60.1
1997,59.7
