UF,SP
Cidade,TAQUARITUBA
Nome Posto,TAQUARITUBA
Latitude,-23.533333333333335
Longitude,-49.233333333333334
Codigo,2349017
Qtd. Anos,71
Ano,Maxima
1939,64
1940,40.3
1941,30.9
1942,42
1943,30
1944,25
1945,70
1946,50
1947,46.5
1948,36
1949,23.4
1950,38.3
1951,20.7
1956,160
1957,100.3
1958,75.3
1959,82.1
1960,45.5
1961,72.9
1962,30.2
1963,40.1
1964,65.7
1965,66.5
1966,70.8
1967,59
1968,70
1969,51
1970,95.5
1971,61
1972,78.8
1973,101
1974,94.4
1975,103.5
1976,90.3
1977,90.4
1978,89.1
1979,59.9
1980,112.3
1981,82.7
1982,54.9
1983,97
1984,70.4
1985,53.7
1986,81.7
1987,58.8
1988,121.2
1989,96.2
1990,99.1
1991,73.1
1992,122.1
1993,59.8
1994,74.7
1995,110
1996,65
1998,65
1999,90
2000,71.5
2001,76.5
2002,83
2003,113.5
2004,170.9
2005,163
2006,89.1
2007,78
2008,69
2009,116
2010,67.3
2011,97
2012,169.3
2013,78
2014,67.3
