UF,SP
Cidade,SAO PAULO
Nome Posto,ENGORDADOR
Latitude,-23.4
Longitude,-46.583333333333336
Codigo,2346035
Qtd. Anos,58
Ano,Maxima
1940,30.4
1941,67.9
1942,55.4
1943,113.7
1944,80
1945,85
1946,49
1947,77
1948,93
1949,90
1950,55
1951,86.5
1952,84
1953,61.5
1954,67
1955,53
1956,75
1957,67.5
1958,55.3
1959,63
1960,85
1961,195
1962,73
1963,77.5
1964,61.5
1965,70
1966,85.2
1967,77.4
1968,87.2
1969,97.1
1970,94.3
1971,69
1972,75.3
1973,96.8
1974,54
1975,82.5
1976,70
1977,68.3
1978,88.2
1979,77.8
1980,58.5
1981,61
1982,89.1
1983,144.9
1984,86.4
1985,74.6
1986,65.7
1987,114.1
1988,179.7
1989,90
1990,57.1
1991,83.9
1992,75.7
1993,69.4
1994,81.1
1995,99.5
1996,89
1997,51.5
