UF,SP
Cidade,LAVINIA
Nome Posto,FAZENDA SANTA TEREZINHA
Latitude,-21
Longitude,-50.916666666666664
Codigo,2150003
Qtd. Anos,47
Ano,Maxima
1955,36.2
1956,91.6
1957,64.2
1958,95.1
1959,77.4
1960,78.5
1961,125
1962,82.1
1963,48.4
1964,90.6
1965,100
1966,93.2
1967,87
1968,66.5
1969,68.7
1970,62
1971,139.3
1972,64.7
1973,64.1
1974,74.4
1975,84.8
1976,64.8
1977,91
1978,74.5
1979,84.7
1980,85.2
1981,60
1982,101.8
1983,92.6
1984,88.5
1985,68.5
1986,76.8
1987,91.5
1988,73
1989,90
1990,105
1991,93.2
1992,85
1993,89.9
1994,78.5
1995,101.3
1996,106.8
1997,86.1
1998,71.2
1999,210
2000,57.8
2001,36.4
