UF,SP
Cidade,IPAUCU
Nome Posto,FAZENDA SAO LUIZ
Latitude,-23.05
Longitude,-49.61666666666667
Codigo,2349052
Qtd. Anos,57
Ano,Maxima
1943,54.6
1944,62.1
1945,120.8
1946,135.9
1947,70.2
1948,114.7
1949,101.5
1950,73.4
1951,66.7
1952,83.5
1953,64.9
1954,75.9
1955,84.9
1956,108.7
1958,64.4
1959,77.2
1960,89.1
1961,73.4
1962,135
1963,57.7
1964,114
1965,76.7
1966,105
1967,91
1968,73
1969,46
1970,97.8
1971,69.8
1972,76.1
1973,69.9
1974,71.2
1975,68.3
1976,123.7
1977,96.1
1978,82.5
1979,107.2
1980,66.3
1981,66.7
1982,64.4
1983,105
1984,68.1
1985,100.3
1986,90
1987,116.5
1988,60
1989,122
1990,169
1991,112
1992,95
1993,100
1994,123.2
1995,78.5
1996,112.8
1997,89.2
1998,82.5
1999,79.1
2000,79.4
