UF,SP
Cidade,JUNDIAI
Nome Posto,JUNDIAI (CPEF)
Latitude,-23.183333333333334
Longitude,-46.86666666666667
Codigo,2346013
Qtd. Anos,45
Ano,Maxima
1936,112.4
1937,64.7
1938,58.4
1939,85.1
1940,61.3
1941,63.3
1942,62.4
1943,96.4
1944,52.5
1945,115.6
1946,66.6
1947,94.2
1948,68.1
1949,88.3
1950,100.4
1951,55.8
1952,77.5
1953,61.3
1954,112.5
1955,152.2
1956,98.8
1957,132.9
1958,82.3
1959,69.3
1960,67.3
1961,57.3
1962,70.6
1963,78.7
1964,94.6
1965,70.2
1966,79.4
1967,68.4
1968,65.3
1969,43.9
1970,83.2
1971,53
1973,228
1974,99.2
1975,161.2
1976,328.5
1977,168.1
1978,317.8
1979,158.7
1980,301.9
1981,144.4
