UF,SP
Cidade,MIRACATU
Nome Posto,PEDRO BARROS
Latitude,-24.248333333333335
Longitude,-47.373333333333335
Codigo,2447043
Qtd. Anos,82
Ano,Maxima
1939,79.6
1940,60.4
1941,81.6
1942,67.2
1943,64
1944,62.4
1945,85
1946,73.2
1947,90
1948,90
1949,80
1950,97.8
1951,171.3
1952,52.2
1953,84.4
1954,56
1955,60.2
1956,63.3
1957,79.8
1958,85.2
1959,120.8
1960,65.2
1961,113.2
1962,67.2
1963,92.4
1964,53.4
1965,153.5
1966,67.2
1967,85.2
1968,71.8
1969,150.8
1970,124.6
1971,65
1972,112.2
1973,75
1974,50
1975,50.8
1976,76.8
1977,87
1978,99
1979,115
1980,111.2
1981,69.4
1982,67.6
1983,93.2
1984,92.4
1985,62.2
1986,78.8
1987,48.9
1988,66.4
1989,777.7
1990,777.7
1991,75.1
1992,55.8
1993,119.1
1994,96.3
1995,88.2
1996,174.8
1997,73.3
1998,140.9
1999,79.6
2000,98.7
2001,70.8
2002,44.9
2003,87.6
2004,116.7
2005,88.5
2006,98.3
2007,84.9
2008,72.5
2009,121.6
2010,93.9
2011,52.6
2012,108.2
2013,90.7
2014,152.3
2015,73.1
2016,70.3
2017,71
2018,86.5
2019,90.3
2020,60
