UF,SP
Cidade,PARIQUERA-ACU
Nome Posto,PARIQUERA-ACU
Latitude,-24.716666666666665
Longitude,-47.88333333333333
Codigo,2447036
Qtd. Anos,72
Ano,Maxima
1939,53.7
1940,96.1
1941,150.8
1942,150.8
1944,62.7
1945,62.8
1946,31.4
1947,70.1
1951,10
1952,40
1953,39.7
1954,83
1955,140.1
1956,105
1957,60.5
1958,133.2
1959,69.4
1960,64.5
1961,173.4
1962,86.4
1963,406.2
1964,62.4
1965,90.4
1966,134
1967,82.7
1968,119
1969,45.3
1970,44.8
1971,106
1972,64.2
1973,137.6
1974,86.3
1975,95.1
1976,81.1
1977,74.9
1978,83.2
1979,108.7
1980,110.9
1981,107.6
1982,110.6
1983,161.6
1984,126.8
1985,96.3
1986,91.2
1987,104.6
1988,117.6
1989,231
1990,115.3
1991,60.9
1992,72.2
1993,97.5
1994,130.4
1995,149.9
1996,71.2
1997,76.2
1998,96.7
1999,86.7
2000,55.3
2001,85.1
2002,96.6
2003,176.7
2004,114.1
2005,96.6
2006,91.9
2007,60.6
2008,162.4
2009,118.6
2010,80.2
2011,110.8
2012,87.9
2013,59.8
2014,68.3
