UF,SP
Cidade,PIRATININGA
Nome Posto,PIRATININGA
Latitude,-22.416666666666668
Longitude,-49.13333333333333
Codigo,2249019
Qtd. Anos,60
Ano,Maxima
1939,58
1940,80.4
1941,116.6
1942,71
1943,80
1944,64
1945,98
1946,83
1947,80
1948,70.9
1949,70.6
1950,121.1
1951,56.5
1952,64.6
1953,96.5
1954,94.5
1955,60.3
1956,57.5
1957,53.3
1958,66.3
1959,60.5
1960,55.2
1961,60.3
1962,58.3
1963,70
1964,56
1965,87.1
1966,223
1967,61.5
1968,61
1969,80.3
1970,73.6
1971,58.7
1972,121.5
1973,85.2
1974,148.5
1975,104.2
1976,70.9
1977,106.4
1978,97.4
1979,77.8
1980,70.6
1981,70.7
1982,61.1
1983,99.5
1984,70.2
1985,82.6
1986,105.8
1987,82.6
1988,49.7
1989,94.3
1990,96.8
1991,68.4
1992,98.6
1993,81.2
1994,89.3
1995,98.8
1996,89.7
1997,36.8
1998,90.6
