UF,SP
Cidade,ITAPETININGA
Nome Posto,SERVICO SOCIAL DE MENORES
Latitude,-23.466666666666665
Longitude,-48.05
Codigo,2348048
Qtd. Anos,57
Ano,Maxima
1945,58.2
1946,77
1947,105.2
1948,61.8
1949,74
1950,63.9
1951,55
1952,102.7
1953,72.4
1954,63.5
1955,69.2
1956,62.3
1957,67.3
1958,67.2
1959,34.9
1960,71.8
1961,42.8
1962,69.5
1963,45
1964,52.1
1965,76
1966,58.5
1967,55.7
1968,58.4
1969,60.7
1970,57
1971,42.5
1972,112.6
1973,107.7
1974,72.5
1975,135
1976,64.2
1977,70.4
1978,98.9
1979,57.8
1980,55
1981,75.5
1982,84.8
1983,111.7
1984,61.8
1985,96.2
1986,81
1987,89.7
1988,80
1989,149.3
1990,43.7
1991,140
1992,58
1993,39.7
1994,50.5
1995,81.1
1996,58.2
1997,84.2
1998,40
1999,75.3
2000,67.3
2001,27.2
