UF,SP
Cidade,CUBATAO
Nome Posto,PIACAGUERA (EFSJ)
Latitude,-23.866666666666667
Longitude,-46.38333333333333
Codigo,2346076
Qtd. Anos,76
Ano,Maxima
1925,198.1
1926,177.8
1927,119.4
1928,228.6
1929,317.5
1930,86.4
1931,101.6
1932,203.2
1933,114.3
1934,266.9
1935,101.6
1936,203.2
1937,114.3
1938,198.1
1939,106.6
1940,137.2
1941,210.8
1942,223.5
1943,94
1944,246.4
1945,111.8
1946,114.3
1947,299.7
1948,132.1
1949,106.6
1950,167.6
1951,121.9
1952,254
1953,228.6
1954,134.6
1955,114.3
1956,221
1957,94
1958,175.3
1959,144.8
1960,101.6
1961,147.3
1962,101.6
1963,129.5
1964,104.1
1965,170.1
1966,198.1
1967,165.1
1968,96.5
1969,111.8
1970,152.4
1971,188
1972,127.7
1973,127.6
1974,144.3
1975,157
1976,251.1
1977,146.2
1978,129.9
1979,119.3
1980,109.1
1981,174.1
1982,32.3
1983,130
1984,83.5
1985,112.9
1986,158.4
1987,62.3
1988,152.3
1989,188.3
1990,191.3
1991,76.1
1992,200.5
1993,258.9
1994,249
1995,100
1996,100
1997,53.2
1998,191.3
1999,91.9
2000,184.8
