UF,SP
Cidade,SAO PAULO
Nome Posto,AGUA BRANCA
Latitude,-23.516666666666666
Longitude,-46.68333333333333
Codigo,2346046
Qtd. Anos,79
Ano,Maxima
1936,43
1937,120.5
1938,60
1939,66
1940,65.3
1941,59.8
1942,46.3
1943,43.8
1944,59.1
1945,74.7
1946,58.8
1947,123.7
1948,102.8
1949,85
1950,62.5
1951,77.8
1952,89.8
1953,100.5
1954,50
1955,69.5
1956,73.5
1957,70.8
1958,81.5
1959,70.5
1960,133.7
1961,115
1962,74.2
1963,52.6
1964,68.1
1965,89
1966,98
1967,97.6
1968,81.5
1969,35.8
1970,74.4
1971,53.1
1972,84.7
1973,63
1974,44.1
1975,57.9
1976,75.5
1977,80.1
1978,99.5
1979,70.4
1980,68.4
1981,39.4
1982,44.2
1983,98.5
1984,48.2
1985,51.8
1986,30.3
1987,70
1988,129.3
1989,88.1
1990,73.1
1991,79.2
1992,58.2
1993,72
1994,49.3
1995,138.5
1996,73.9
1997,34.8
1998,58
1999,63.3
2000,70.5
2001,100.5
2002,50.9
2003,49.5
2004,88.5
2005,136
2006,85.8
2007,76.1
2008,59.2
2009,86.3
2010,81
2011,118
2012,45
2013,71.5
2014,74
