UF,SP
Cidade,RIBEIRAO DO SUL
Nome Posto,RIBEIRAO DO SUL
Latitude,-22.783333333333335
Longitude,-49.93333333333333
Codigo,2249028
Qtd. Anos,78
Ano,Maxima
1937,57.5
1938,10.7
1939,59.5
1940,38.4
1941,86.4
1942,52.4
1943,64.3
1944,145.4
1945,90.4
1946,91.7
1947,119.2
1948,65.3
1949,64.5
1950,100.5
1951,95
1952,104.4
1953,50.4
1954,95.3
1955,62.4
1956,44.2
1957,40.6
1958,71.3
1959,49.9
1960,66.3
1961,98.4
1962,57.5
1963,40.4
1964,47
1965,87
1966,42.5
1967,30.8
1968,30.5
1969,72
1970,59.4
1971,90.3
1972,100.7
1973,70.8
1974,82.4
1975,88.4
1976,82.7
1977,63
1978,86.5
1979,58.7
1980,89
1981,75.2
1982,64.5
1983,80.5
1984,70.6
1985,90.1
1986,105.4
1987,99
1988,57.6
1989,60
1990,84.2
1991,75.9
1992,60.8
1993,69.7
1994,75.1
1995,101.2
1996,86
1997,90
1998,62.3
1999,75.5
2000,96
2001,91
2002,81
2003,48.2
2004,70.4
2005,81
2006,51.5
2007,70
2008,86.5
2009,80
2010,75
2011,67.6
2012,167.4
2013,90.2
2014,85
