UF,SP
Cidade,NARANDIBA
Nome Posto,NARANDIBA
Latitude,-22.416666666666668
Longitude,-51.516666666666666
Codigo,2251014
Qtd. Anos,71
Ano,Maxima
1944,21.9
1945,58
1946,74.8
1947,98.6
1948,63.4
1949,43.4
1950,51.4
1951,52.1
1952,62.1
1953,62.8
1954,81
1955,71.2
1956,61.1
1957,51.2
1958,72.5
1959,49.1
1960,44.7
1961,89.1
1962,63.4
1963,80
1964,193.6
1965,52
1966,53.5
1967,35.2
1968,57
1969,130.3
1970,105
1971,81.5
1972,93.5
1973,57.4
1974,79.2
1975,83.3
1976,93.5
1977,61.1
1978,382.6
1979,70
1980,101.5
1981,61.4
1982,88
1983,97.9
1984,79.4
1985,79.5
1986,54.8
1987,141.8
1988,76.4
1989,116.9
1990,124.1
1991,161
1992,101.6
1993,112.5
1994,74
1995,79.7
1996,90.4
1997,130
1998,61.4
1999,80.6
2000,53.8
2001,48.3
2002,85.5
2003,60
2004,92.7
2005,84.7
2006,96.6
2007,73.3
2008,82.3
2009,108.6
2010,98
2011,66.3
2012,133.5
2013,105.3
2014,65.7
