UF,SP
Cidade,JACAREI
Nome Posto,JACAREI
Latitude,-23.283333333333335
Longitude,-45.95
Codigo,2345024
Qtd. Anos,71
Ano,Maxima
1942,30.3
1943,92.9
1944,57.6
1945,79.1
1946,82.2
1947,78.3
1948,75.6
1949,51
1950,57.3
1951,70.9
1952,45.6
1953,59.2
1954,49.8
1955,44.8
1956,52.4
1957,53.3
1958,47.4
1959,57.5
1960,92
1961,44.5
1962,94.3
1963,61.5
1964,52.9
1965,56.7
1966,44.5
1967,45
1968,36
1969,45.5
1970,55
1971,53.8
1972,50.2
1973,53
1974,41.3
1975,78.4
1976,78.3
1977,123.5
1978,92.4
1979,40.2
1980,56.6
1981,49.3
1982,69.4
1983,66.8
1984,56.1
1985,58
1986,77.6
1987,86.1
1988,61.1
1989,49.4
1990,39.1
1991,142.1
1992,51.7
1993,53.2
1994,74.6
1995,46.4
1996,62.6
1997,55.2
1998,55.8
1999,62.8
2000,72
2001,50.5
2002,50.3
2003,80.4
2004,62.8
2005,70.8
2006,70.4
2007,40.6
2008,50.4
2009,21.2
2015,66.2
2016,62.3
2017,78.7
