UF,SP
Cidade,GUARAREMA
Nome Posto,PARATEI
Latitude,-23.316666666666666
Longitude,-46.11666666666667
Codigo,2346018
Qtd. Anos,47
Ano,Maxima
1957,27.1
1958,52.3
1959,55.9
1960,60
1961,50.3
1962,80
1963,52.6
1964,65.9
1965,70.3
1966,59.4
1967,42.6
1968,85.5
1969,39.9
1970,59.4
1971,55.3
1972,49.5
1973,53.5
1974,96
1975,66.5
1976,59.9
1977,90.5
1978,102.6
1979,49.2
1980,49.4
1981,56.1
1982,80.5
1983,108
1984,43.3
1985,83
1986,78.2
1987,136.2
1988,78.4
1989,53.3
1990,41.9
1991,123.3
1992,85.8
1993,70
1994,57
1995,80
1996,78.6
1997,62
1998,79.5
1999,89.3
2000,48
2001,66.9
2002,75.6
2003,59.5
