UF,SP
Cidade,IBITINGA
Nome Posto,COQUEIROS
Latitude,-21.85
Longitude,-48.8
Codigo,2148047
Qtd. Anos,49
Ano,Maxima
1950,45
1951,52.2
1952,67.8
1953,64.2
1954,66.3
1955,53.4
1956,63.6
1957,58.2
1958,89.2
1959,43.2
1960,34.6
1961,48.5
1962,68.3
1963,34.5
1964,67.5
1965,40
1968,62.2
1969,71.3
1970,78.5
1971,74.2
1972,74.4
1973,108.3
1974,93.4
1975,66.8
1976,90.6
1977,80.4
1978,84.2
1979,95.3
1980,62.5
1981,65.3
1982,125.2
1983,111.9
1984,151
1985,48.6
1986,97.2
1987,66.2
1988,99.6
1989,203.2
1990,64.7
1991,59.5
1992,58.5
1993,127.6
1994,84.6
1995,86.7
1996,64.2
1997,60.5
1998,69.6
1999,76.2
2000,114.6
