UF,SP
Cidade,SAO JOAQUIM DA BARRA
Nome Posto,FAZENDA SANTA CECILIA
Latitude,-20.516666666666666
Longitude,-47.96666666666667
Codigo,2047018
Qtd. Anos,78
Ano,Maxima
1937,89.5
1938,97
1939,82
1940,100.5
1941,69
1942,52.1
1943,76.1
1944,64.4
1945,65.5
1946,63.5
1947,61.8
1948,54.5
1949,95.8
1950,92.5
1951,68.2
1952,127
1953,95
1954,82
1955,73.2
1956,70
1957,131.7
1958,104.5
1959,87
1960,59.5
1961,105
1962,78.3
1963,84.5
1964,107
1965,110.4
1966,74.5
1967,60.5
1968,81.2
1969,124.6
1970,82.8
1971,101.6
1972,99.3
1973,117.7
1974,66.8
1975,106.7
1976,78.4
1977,73.4
1978,134.6
1979,86.7
1980,128.8
1981,57
1982,87
1983,106.8
1984,99.3
1985,98.8
1986,80.8
1987,80.5
1988,71.2
1989,97
1990,95
1991,105
1992,91.4
1993,81.8
1994,77.7
1995,105.2
1996,94.4
1997,115.8
1998,72.6
1999,96.8
2000,65
2001,80.3
2002,97.8
2003,138.6
2004,92.2
2005,81.8
2006,80
2007,206.7
2008,91.3
2009,98.5
2010,127
2011,92.5
2012,77
2013,76
2014,45
