UF,SP
Cidade,SANTA LUCIA
Nome Posto,FAZENDA DOS ALPES
Latitude,-21.666666666666668
Longitude,-48.05
Codigo,2148034
Qtd. Anos,55
Ano,Maxima
1960,51.8
1961,99.8
1962,92.3
1963,92
1964,79.3
1965,93.5
1966,74
1967,76
1968,57.5
1969,67.2
1970,98.9
1971,88.2
1972,68.2
1973,75.2
1974,71.4
1975,91.3
1976,114.7
1977,81.3
1978,60.3
1979,128.8
1980,65.1
1981,63.7
1982,81.3
1983,75.4
1984,93.7
1985,76.2
1986,84.2
1987,87.4
1988,70.6
1989,74.1
1990,54.2
1991,76.3
1992,82.7
1993,69.3
1994,87.8
1995,120.9
1996,92.4
1997,61.2
1998,51.4
1999,83.5
2000,81.8
2001,51.4
2002,80.7
2003,139.7
2004,80.8
2005,71.2
2006,91.3
2007,91.4
2008,57.5
2009,150
2010,76.8
2011,78
2012,117.3
2013,75.1
2014,63.4
