UF,SP
Cidade,CAPAO BONITO
Nome Posto,BARREIRO
Latitude,-24.166666666666668
Longitude,-48.333333333333336
Codigo,2448006
Qtd. Anos,56
Ano,Maxima
1947,40.2
1948,76
1949,66.9
1950,110.6
1952,77.8
1953,54.9
1954,122
1955,42.4
1956,110
1958,40.5
1959,90
1960,70.8
1961,90.7
1962,80.3
1963,80.3
1964,9.3
1965,150
1966,88
1967,77.4
1968,60
1969,93
1970,117.2
1971,58.5
1972,76.3
1973,58.8
1974,84.1
1975,53.4
1976,65.3
1977,65.2
1978,60
1979,58.6
1980,52.2
1981,66.6
1982,72.1
1983,102.7
1984,57.4
1985,41
1986,90
1987,65.2
1988,92
1989,141.5
1990,39.5
1991,38.8
1992,39.8
1993,42.5
1994,31.3
1995,57.2
1996,47.9
1997,38.4
1998,45.6
1999,67.3
2000,64.3
2001,102.5
2002,81.5
2003,62.9
2004,95.3
