UF,SP
Cidade,SERTAOZINHO
Nome Posto,USINA SANTA ELISA
Latitude,-21.1
Longitude,-48.06666666666667
Codigo,2148123
Qtd. Anos,49
Ano,Maxima
1954,60
1955,50.5
1956,62
1957,92.5
1970,83.1
1971,104.1
1972,67.7
1973,87.8
1974,70.2
1975,89.4
1976,108.5
1977,70.9
1978,86.7
1979,125.4
1980,104.2
1981,109.6
1982,139.5
1983,127.8
1984,54.5
1985,70.8
1986,162
1987,45
1988,68
1989,125.3
1990,60.3
1991,100.1
1992,84.5
1993,62
1994,57
1995,94.5
1996,74.5
1997,92
1998,92
1999,93
2000,89
2001,64
2002,81
2003,96
2004,118
2005,101
2006,78
2007,100
2008,75
2009,78
2010,105.2
2011,78.6
2012,57
2013,70
2014,55
