UF,SP
Cidade,QUEIROZ
Nome Posto,QUEIROZ
Latitude,-21.8
Longitude,-50.233333333333334
Codigo,2150034
Qtd. Anos,70
Ano,Maxima
1946,52.8
1947,97.2
1948,90.7
1949,110.3
1950,82.4
1951,72.5
1952,70.5
1953,55
1954,95.3
1955,52.5
1956,68.5
1957,80.2
1958,50
1959,75.8
1960,57
1961,57.3
1962,58.5
1963,71.2
1964,76.2
1965,70.4
1966,119.7
1970,45.3
1971,55.7
1972,127.6
1973,41.3
1974,90.2
1975,60.1
1976,100.3
1977,70.1
1978,76.5
1979,102.9
1980,121
1981,67.1
1982,64.1
1983,66.9
1984,103.7
1985,62.5
1986,95.3
1987,105
1988,78
1989,71
1990,76
1991,76.4
1992,89.5
1993,114.5
1994,93.4
1995,106.4
1996,80
1997,69.7
1998,88.7
1999,78.4
2000,74.3
2001,59.7
2002,70.4
2003,98.9
2004,82.9
2005,87.6
2006,77.9
2007,97.7
2008,124.7
2009,59.7
2010,79.6
2011,98.6
2012,132.9
2013,97.9
2014,110.4
2015,110.9
2016,89.7
2017,110.9
2018,94.9
