UF,SP
Cidade,INDAIATUBA
Nome Posto,FAZENDA SANTA RITA
Latitude,-23.166666666666668
Longitude,-47.13333333333333
Codigo,2347011
Qtd. Anos,45
Ano,Maxima
1970,53.2
1971,68.7
1972,86.9
1973,68.2
1974,64.2
1975,95.2
1976,61.5
1977,73.6
1978,92.5
1979,88.2
1980,59.5
1981,82.4
1982,65.1
1983,110.3
1984,43.5
1985,93.6
1986,57.1
1987,77.5
1988,78.6
1989,70.3
1990,90
1991,70.9
1992,47.1
1993,72.1
1994,75.3
1995,98.3
1996,67
1997,73.3
1998,71
1999,73.9
2000,56.8
2001,74.9
2002,82.6
2003,62.1
2004,51.6
2005,143.5
2006,93.2
2007,77.3
2008,50.8
2009,123.5
2010,59.2
2011,88.4
2012,85.3
2013,77.7
2014,72.6
