UF,SP
Cidade,PINHALZINHO
Nome Posto,PINHALZINHO
Latitude,-22.783333333333335
Longitude,-46.6
Codigo,2246025
Qtd. Anos,79
Ano,Maxima
1940,53.4
1941,206.1
1942,70.5
1943,46.4
1944,41
1945,115
1946,63.5
1947,75
1948,84
1949,110
1950,80
1951,65
1952,38
1953,80.5
1954,92
1955,90
1956,63
1957,75
1958,45
1959,87
1960,109
1961,70
1962,65
1963,75
1964,83
1965,65
1966,50
1967,50
1968,50
1969,48
1970,155
1971,51.6
1972,67.8
1973,79.5
1974,93.2
1975,55.2
1976,89.2
1977,93.4
1978,78.4
1979,72.4
1980,76.5
1981,97.2
1982,76.8
1983,104.5
1984,59
1985,82
1986,57.5
1987,72.2
1988,66
1989,93.8
1990,87.7
1991,95.1
1992,45.8
1993,54.4
1994,41.2
1995,33.6
1996,92
1997,90.3
1998,65.8
1999,120
2000,82.3
2001,123
2002,52.3
2003,53.6
2004,69
2005,146.2
2006,56.3
2007,96
2008,74.8
2009,73
2010,69
2011,86.4
2012,72.6
2013,55.5
2014,65.2
2015,76
2016,64.7
2017,73.7
2018,49.5
