UF,SP
Cidade,CHARQUEADA
Nome Posto,RECREIO
Latitude,-22.583333333333332
Longitude,-47.68333333333333
Codigo,2247208
Qtd. Anos,39
Ano,Maxima
1980,35.9
1981,111.6
1982,93
1983,98.4
1984,83.9
1985,52.2
1986,74.9
1987,98.9
1988,83.2
1989,44.8
1990,80.2
1991,87.7
1992,60.4
1993,45.6
1994,56.1
1995,135.4
1996,67.4
1997,56.8
1998,26.7
1999,73.3
2000,85.4
2001,110.6
2002,81.8
2003,70.2
2004,185.3
2005,118
2006,71.6
2007,68.9
2008,50.2
2009,98.9
2010,106.8
2011,120.2
2012,88.1
2013,97.4
2014,48.7
2015,74
2016,70.3
2017,66.3
2018,41.7
