UF,SP
Cidade,PALMITAL
Nome Posto,SUCUI
Latitude,-22.816666666666666
Longitude,-50.3
Codigo,2250037
Qtd. Anos,40
Ano,Maxima
1974,90.9
1975,53.3
1976,80.5
1977,70.8
1978,83.8
1979,75.4
1980,111.8
1981,86.3
1982,72.6
1983,70.2
1984,75.4
1985,65.6
1986,69.2
1987,86
1988,59.5
1989,72.6
1990,110.5
1991,62.7
1992,58.3
1993,90.5
1994,191
1995,138.3
1996,111.3
1997,86.4
1998,75.6
2000,42
2001,91
2002,71.2
2003,74.1
2004,60
2005,74
2006,85.1
2007,64.3
2008,96.5
2009,85.2
2010,51.3
2011,68.6
2012,158
2013,64.5
2014,87.7
