UF,SP
Cidade,ITAOCA
Nome Posto,ITAOCA
Latitude,-24.65
Longitude,-48.833333333333336
Codigo,2448022
Qtd. Anos,39
Ano,Maxima
1962,38.2
1963,74.8
1964,84.9
1965,82.2
1966,125.3
1967,90.4
1968,62.8
1969,78.7
1970,86.6
1971,70.3
1972,56
1973,81.8
1974,116.4
1975,86.3
1976,51.6
1977,75.7
1978,46.7
1979,60.1
1980,61.5
1981,56.5
1982,81.1
1983,75.3
1984,55.3
1985,45.7
1986,50.5
1987,82.4
1988,58.2
1989,91
1990,72.5
1991,73.7
1992,60.9
1993,58.5
1994,76.3
1995,137.5
1996,100.4
1997,132
1998,78.7
1999,58.7
2000,85.6
