UF,SP
Cidade,NAZARE PAULISTA
Nome Posto,NAZARE PAULISTA
Latitude,-23.183333333333334
Longitude,-46.4
Codigo,2346010
Qtd. Anos,73
Ano,Maxima
1946,30.1
1947,104.4
1948,82.5
1949,72.2
1950,66.3
1951,39.7
1952,74.9
1953,71.9
1954,77.5
1955,63.4
1956,58.8
1957,71.5
1958,66.2
1959,70.5
1960,72.3
1961,55.4
1962,83.2
1963,92.2
1964,68.2
1965,69.8
1966,69.6
1967,58.2
1968,49.2
1969,52.8
1970,69
1971,48.9
1972,52.6
1973,66.9
1974,40.3
1975,75
1976,85.6
1977,62.1
1978,86.7
1979,44.6
1980,59.8
1981,87.5
1982,101.7
1983,67.9
1984,66.1
1985,53.4
1986,56.7
1987,90
1988,118.6
1989,87.7
1990,53.8
1991,80
1992,46.2
1993,67.9
1994,102.4
1995,76.4
1996,58.1
1997,76.3
1998,45.3
1999,67.8
2000,78
2001,102
2002,63.7
2003,68
2004,42
2005,83.4
2006,73.5
2007,86.2
2008,70.4
2009,79
2010,75.5
2011,112.2
2012,51.5
2013,50
2014,43
2015,64
2016,93
2017,51.7
2018,68.3
