UF,SP
Cidade,MIRASSOLANDIA
Nome Posto,MIRASSOLANDIA
Latitude,-20.616666666666667
Longitude,-49.46666666666667
Codigo,2049015
Qtd. Anos,50
Ano,Maxima
1965,44.9
1966,154.8
1967,81.2
1968,67.1
1969,58.3
1970,66.4
1971,94.8
1972,64.4
1973,83.6
1974,80.1
1975,108.1
1976,90.2
1977,95.8
1978,100.9
1979,130.5
1980,73.6
1981,69.4
1982,78.2
1983,133.4
1984,130
1985,70
1986,110.4
1987,47.3
1988,79.6
1989,91.2
1990,46.3
1991,64.9
1992,71.1
1993,75.9
1994,84.6
1995,67
1996,52.7
1997,107
1998,53.8
1999,50.9
2000,110.8
2001,88.9
2002,67.6
2003,85.6
2004,83.3
2005,72.1
2006,86.8
2007,86.8
2008,99.1
2009,63.8
2010,71.9
2011,105.3
2012,73.4
2013,78.7
2014,79.2
