UF,SP
Cidade,PONTAL
Nome Posto,PONTAL
Latitude,-21.016666666666666
Longitude,-48.03333333333333
Codigo,2148003
Qtd. Anos,63
Ano,Maxima
1936,63.5
1937,82.6
1938,68.3
1939,41
1940,74
1941,107
1942,64
1943,105
1944,74
1945,61.7
1946,56
1947,84
1948,76
1949,91.5
1950,93
1951,65
1952,90.5
1953,67.5
1954,119
1955,64
1956,84
1957,50.3
1958,101.8
1959,100.2
1960,100
1961,60
1962,110
1964,84.5
1965,106.5
1966,74.5
1967,116.5
1968,80
1969,65
1970,110
1971,98.7
1972,78.6
1973,132.8
1974,80
1975,90.4
1976,84.4
1977,54.9
1978,110.5
1979,95.2
1980,84
1981,111.3
1982,153.8
1983,100.7
1984,100.1
1985,99.4
1986,175.6
1987,79.3
1988,74.3
1989,98.1
1990,58.2
1991,79.5
1992,62
1993,77
1994,78
1995,80
1996,61.4
1997,80.2
1998,69.2
1999,52.2
