UF,SP
Cidade,VARGEM GRANDE DO SUL
Nome Posto,VARGEM GRANDE DO SUL
Latitude,-21.833333333333332
Longitude,-46.9
Codigo,2146011
Qtd. Anos,77
Ano,Maxima
1936,69
1937,53
1938,84
1939,87.8
1940,112.8
1941,90.5
1942,76.4
1943,160.6
1944,124.2
1945,161.5
1946,95.6
1947,150
1948,126
1949,60.5
1950,59.5
1951,40.6
1952,38.5
1953,42
1954,71.6
1955,80.2
1956,42.1
1957,60.2
1958,40.4
1959,41.2
1960,60.1
1961,218.3
1962,74.9
1963,88.4
1964,74.9
1965,78.7
1966,84.4
1967,56.3
1968,80
1969,59.5
1970,85.8
1971,54.4
1972,77.6
1973,50.4
1974,74.9
1975,81.4
1976,83.6
1977,63.5
1978,66.9
1979,70.8
1980,46.4
1981,79.6
1982,70.1
1983,58.8
1984,52.4
1985,72.6
1986,91.2
1987,62.6
1988,60.2
1989,75.2
1990,50.4
1991,68.6
1992,58.6
1993,36.8
1994,96
1995,78.6
1996,59
1997,56.2
1998,61
1999,41
2000,78.6
2001,68.4
2002,65.2
2003,59
2004,86.2
2005,79.2
2006,96
2009,92.4
2010,77.7
2011,90.4
2012,52.8
2013,72.8
2014,60.5
