UF,SP
Cidade,CAMPOS DO JORDAO
Nome Posto,FAZENDA DA GUARDA (PARQUE)
Latitude,-22.68888888888889
Longitude,-45.481388888888894
Codigo,2245010
Qtd. Anos,79
Ano,Maxima
1941,77.2
1942,67.4
1943,55
1944,52
1945,165.2
1946,48.6
1947,75.2
1948,46.4
1949,112
1950,90
1951,46.8
1952,42.4
1953,56.2
1954,70.2
1955,46.4
1956,111.8
1957,126
1958,93.4
1959,96.4
1960,48.8
1961,64.2
1962,60.2
1963,66.2
1964,77
1965,95.8
1966,75
1967,64.4
1968,78.2
1969,60.6
1970,95.2
1971,104.4
1972,62.6
1973,142.6
1974,90.8
1975,54.4
1976,84.3
1977,82.4
1978,81
1979,90.4
1980,102
1981,71.2
1982,100
1983,81
1984,52
1985,130.2
1986,57.8
1987,80.4
1988,114.4
1989,47.2
1990,45.2
1991,51.6
1992,58
1993,81
1994,87
1995,79
1996,74.6
1997,44.9
1998,58
1999,53.6
2000,78.2
2001,58.3
2002,80.1
2003,62.2
2004,58.5
2005,68.3
2006,123.7
2007,55.4
2008,38.5
2009,60
2010,47.7
2011,72.2
2012,74.3
2013,51.7
2014,24.5
2015,30.8
2016,78.3
2017,48.1
2018,83.8
2019,45.2
