UF,SP
Cidade,BURI
Nome Posto,TAQUARI - VAI
Latitude,-23.916666666666668
Longitude,-48.7
Codigo,2348030
Qtd. Anos,52
Ano,Maxima
1945,30
1946,30
1947,40.8
1948,101.3
1949,51.2
1950,50
1951,70
1952,70.2
1953,60
1954,75.4
1955,70.7
1956,61.3
1957,30
1958,44.4
1959,26
1960,60
1961,70
1962,20.1
1963,33.7
1964,72.5
1965,30.3
1966,40.4
1967,47.6
1968,65.4
1969,53
1970,57.1
1971,80.8
1972,58
1973,75.2
1974,55.4
1975,45.6
1976,61.6
1977,47.6
1978,59.4
1979,48
1980,67.8
1981,64.9
1982,78.9
1983,54.2
1984,50.8
1985,57.3
1986,89.8
1987,90
1988,90.1
1989,116
1990,79
1991,101.9
1992,68.2
1993,64.3
1994,75
1995,57.7
1996,90
