UF,SP
Cidade,SAO JOSE DO RIO PARDO
Nome Posto,SAO JOSE DO RIO PARDO
Latitude,-21.6
Longitude,-46.9
Codigo,2146009
Qtd. Anos,71
Ano,Maxima
1943,91.5
1944,70.3
1945,113.8
1946,45.1
1947,31.5
1949,56.8
1950,34.1
1951,7.6
1952,48.2
1953,46.2
1954,66.6
1955,52.6
1956,75
1957,89.8
1958,94.1
1959,62.7
1960,90.6
1961,68.7
1962,68.2
1963,62.2
1964,76.8
1965,68.1
1966,88.8
1967,84.3
1968,53.2
1969,85
1970,117.7
1971,72.8
1972,82.9
1973,71.5
1974,66.1
1975,64.3
1976,63
1977,229
1978,57.7
1979,61
1980,97.9
1981,107.2
1982,51.6
1983,75.8
1984,60.8
1985,63
1986,122.7
1987,128.7
1988,69.7
1989,63
1990,41.9
1991,76.1
1992,85.1
1993,58.5
1994,139.5
1995,82.7
1996,61
1997,63.3
1998,65
1999,70.9
2000,42.1
2001,50.1
2002,78.5
2003,63
2004,118.3
2005,90
2006,46.1
2007,117.6
2008,88
2009,170
2010,60.3
2011,92.9
2012,70
2013,62.3
2014,64.1
