UF,SP
Cidade,RIFAINA
Nome Posto,RIFAINA
Latitude,-20.083333333333332
Longitude,-47.43333333333333
Codigo,2047005
Qtd. Anos,72
Ano,Maxima
1943,70.7
1944,81.8
1945,70.5
1946,83.7
1947,72.5
1948,70.4
1949,80
1950,80
1951,43.3
1952,37
1953,83.2
1954,48.7
1955,42
1956,43.3
1957,43.3
1958,101.3
1959,40
1960,42
1961,43.2
1962,55
1963,55
1964,81.2
1965,160
1966,80.3
1967,62
1968,90
1969,81.5
1970,68.4
1971,78.2
1972,68.9
1973,60.8
1974,66.7
1975,116.2
1976,83.7
1977,61.3
1978,108.8
1979,95.8
1980,86.7
1981,73.1
1982,81.6
1983,109.3
1984,90
1985,107.5
1986,108.8
1987,59.1
1988,81.2
1989,83.6
1990,104.7
1991,132.8
1992,91.4
1993,87.5
1994,76.4
1995,73.3
1996,55.6
1997,182.8
1998,68.2
1999,115.3
2000,123.4
2001,74.7
2002,95.2
2003,104.3
2004,82.5
2005,65
2006,80
2007,137.2
2008,129.8
2009,85.9
2010,90.5
2011,54.7
2012,74
2013,77.1
2014,72
