UF,SP
Cidade,ATIBAIA
Nome Posto,ATIBAIA
Latitude,-23.103333333333335
Longitude,-46.558055555555555
Codigo,2346095
Qtd. Anos,83
Ano,Maxima
1938,60.4
1939,57.5
1940,72.5
1941,97
1942,55.6
1943,45.7
1944,52
1945,88
1946,73.6
1947,70
1948,82
1949,77
1950,56.5
1951,70
1952,52
1953,93.2
1954,72.3
1955,74.4
1956,62
1957,85.2
1958,68.4
1959,81.8
1960,73.8
1961,60.4
1962,92.4
1963,73
1964,123.2
1965,87.2
1966,59.4
1967,51.8
1968,83.6
1969,73.6
1970,124.2
1971,81.6
1972,77.8
1973,79.8
1974,73.8
1975,123.6
1976,79.8
1977,79.6
1978,63.6
1979,49.2
1980,85.8
1981,49.8
1982,139.2
1983,82.8
1984,68.1
1985,68.7
1986,71.7
1987,106.9
1988,57.6
1989,777.7
1990,44.7
1991,121.7
1992,77.9
1993,79.1
1994,203.4
1995,87.9
1996,102.4
1997,90
1998,74.8
1999,88.6
2000,70
2001,71
2002,85.9
2003,87
2004,94.5
2005,103.7
2006,82.9
2007,54.7
2008,54.4
2009,101.3
2010,52.9
2011,120.8
2012,79.3
2013,45.2
2014,56.5
2015,65.2
2016,88.9
2017,72.1
2018,8.1
2019,100.3
2020,74
