UF,SP
Cidade,CONCHAL
Nome Posto,PADUA SALES
Latitude,-22.300833333333333
Longitude,-47.13361111111111
Codigo,2247054
Qtd. Anos,54
Ano,Maxima
1966,24
1967,25.6
1968,51.4
1969,75.3
1970,159
1971,50
1972,79.3
1973,65
1974,59
1975,60
1976,94
1977,61.4
1978,50
1979,76
1980,83
1981,79.4
1982,42.3
1983,68.2
1984,73.3
1985,86.2
1986,59
1987,77.1
1988,79
1989,75.3
1990,111
1991,46.5
1992,59.5
1993,50.6
1994,141.2
1995,71.6
1996,60.3
1997,56.5
1998,59.2
1999,111.2
2000,171.2
2001,67.6
2002,66.4
2003,47.6
2004,54.6
2005,79.5
2006,66.5
2007,72.3
2008,48.9
2009,112.4
2010,100
2011,98.7
2012,69.8
2013,61.4
2014,71.3
2015,87
2016,48.2
2017,48.6
2018,45.8
2019,97.6
