UF,SP
Cidade,ANGATUBA
Nome Posto,BOM RETIRO
Latitude,-23.55
Longitude,-48.3
Codigo,2348019
Qtd. Anos,47
Ano,Maxima
1936,94.9
1937,63
1938,58
1954,25.4
1955,68.4
1956,58.9
1957,81.4
1958,54.1
1959,58.1
1960,61.9
1961,45.9
1962,92.4
1963,92.7
1964,69.5
1965,89.8
1966,105.7
1967,58.2
1968,68.5
1969,67.5
1970,60.6
1971,54.2
1972,128.7
1973,78.3
1974,87.3
1975,122.8
1976,94.5
1977,67.7
1978,62.8
1979,66.5
1980,48.5
1981,66.2
1982,54.4
1983,63.5
1984,64
1985,89
1986,73
1987,78.4
1988,51
1989,74.8
1990,79.4
1991,104.5
1992,52.3
1993,61.3
1994,69.5
1995,57.4
1996,61.3
1997,108.4
