UF,SP
Cidade,SAO MANUEL
Nome Posto,SAO MANUEL
Latitude,-22.733333333333334
Longitude,-48.56666666666667
Codigo,2248026
Qtd. Anos,75
Ano,Maxima
1940,34.2
1941,54.5
1942,68.1
1943,61.4
1944,90.8
1945,99.6
1946,56.3
1947,130
1948,128.6
1949,100.3
1950,79.4
1951,76.4
1952,48.4
1953,55.5
1954,91.1
1955,105.5
1956,106.6
1957,77.1
1958,138
1959,88.1
1960,105.7
1961,90
1962,143.3
1963,73.8
1964,69.7
1965,112.4
1966,67.1
1967,58
1968,62.1
1969,62.5
1970,71.4
1971,89.8
1972,95.7
1973,59.5
1974,114.5
1975,136.2
1976,98.6
1977,131.4
1978,158.6
1979,40.5
1980,80.3
1981,111.7
1982,72.3
1983,88.9
1984,57.3
1985,74.3
1986,70.7
1987,94.5
1988,96.6
1989,110.7
1990,57.1
1991,81.1
1992,85.9
1993,93.8
1994,66.3
1995,69.2
1996,100.3
1997,117.7
1998,75.7
1999,63.5
2000,73.5
2001,88.9
2002,76.7
2003,156.7
2004,67.3
2005,82.3
2006,92.3
2007,78.7
2008,61.8
2009,60.5
2010,69.3
2011,102.1
2012,88.5
2013,147.1
2014,77.6
