UF,SP
Cidade,LUTECIA
Nome Posto,AGROPECUARIA SANTO ANTONIO
Latitude,-22.366666666666667
Longitude,-50.38333333333333
Codigo,2250011
Qtd. Anos,58
Ano,Maxima
1961,36
1962,51.4
1963,71
1964,90
1965,91.8
1966,113
1967,64.4
1968,58.2
1969,87.1
1970,63.4
1971,64.6
1972,155.5
1973,118.6
1974,76.4
1975,83.2
1976,140.1
1977,308.7
1978,52.9
1979,65.3
1980,85.1
1981,65.3
1982,81.3
1983,92.2
1984,130.4
1985,68.5
1986,48.2
1987,95
1988,98.3
1989,88
1990,99.3
1991,107.3
1992,114
1993,79.4
1994,77.7
1995,65.8
1996,58.3
1997,69.6
1998,43.7
1999,64.9
2000,191
2001,80.9
2002,63.6
2003,91.7
2004,80
2005,69.4
2006,70
2007,109.4
2008,43.6
2009,99.2
2010,57.2
2011,51.6
2012,66.4
2013,82.6
2014,65.6
2015,101.4
2016,76.3
2017,100.3
2018,79.2
