UF,SP
Cidade,TEODORO SAMPAIO
Nome Posto,EUCLIDES DA CUNHA
Latitude,-22.55
Longitude,-52.583333333333336
Codigo,2252037
Qtd. Anos,49
Ano,Maxima
1966,91.7
1967,44
1968,69.2
1969,53.9
1970,74.1
1971,150
1972,89.5
1973,87.4
1974,54.7
1975,139
1976,51.3
1977,47.1
1978,72.2
1979,94.8
1980,130.5
1981,80
1982,96.1
1983,63.2
1984,90.6
1985,73.2
1986,77.3
1987,86.9
1988,61.5
1989,61.7
1990,70.4
1991,68.7
1992,63.4
1993,73.1
1994,57.5
1995,93.8
1996,69.1
1997,73.6
1998,69.7
1999,75.5
2000,80.2
2001,65.3
2002,75.4
2003,96.8
2004,86.1
2005,64.3
2006,87.2
2007,62.6
2008,63.1
2009,75.4
2010,42.7
2011,50.1
2012,64.9
2013,59.2
2014,58.1
