UF,SP
Cidade,ITUPEVA
Nome Posto,FAZENDA BURITI
Latitude,-23.083333333333332
Longitude,-47.05
Codigo,2347136
Qtd. Anos,40
Ano,Maxima
1963,48.6
1964,72
1965,75.2
1966,139
1967,65.4
1968,78
1969,57.3
1970,178
1971,62.8
1972,103.1
1973,50
1974,99.5
1975,82.2
1976,90.3
1977,109.1
1978,120.4
1979,74
1980,84
1981,83.4
1982,143.5
1983,135
1984,55.2
1985,91.3
1986,64
1987,92.5
1988,92.6
1989,100.3
1990,50.2
1991,80.9
1992,75
1993,65.8
1994,72
1995,130.1
1996,55.2
1997,94.5
1998,101.5
1999,80
2000,89
2001,71
2002,81.5
