UF,SP
Cidade,GETULINA
Nome Posto,MACUCOS
Latitude,-21.75
Longitude,-50.11666666666667
Codigo,2150030
Qtd. Anos,80
Ano,Maxima
1939,33.8
1940,71.3
1941,61.1
1942,49.4
1943,25.1
1944,31.4
1945,30.7
1946,35.2
1947,59.6
1948,55.4
1949,71.6
1950,62.6
1951,48.6
1952,71.6
1953,70.8
1954,83.3
1955,58.7
1956,74.1
1957,82.1
1958,46.5
1959,56.5
1960,71.5
1961,57.3
1962,65.4
1963,100
1964,66.7
1965,67.7
1966,95.4
1967,54
1968,97
1969,95.3
1970,78.7
1971,53.4
1972,57
1973,62.8
1974,75
1975,64.5
1976,88.6
1977,95.6
1978,57.6
1979,60
1980,66.1
1981,58.5
1982,56
1983,72.5
1984,70
1985,57
1986,59.3
1987,78.4
1988,71.5
1989,96.1
1990,66.8
1991,67.7
1992,74.4
1993,67.4
1994,53
1995,95
1996,118
1997,84.3
1998,84.3
1999,66.2
2000,74.4
2001,57.9
2002,67.9
2003,55.8
2004,124.6
2005,75.6
2006,72.4
2007,144.5
2008,61.4
2009,115.9
2010,108.6
2011,78.6
2012,95.9
2013,136.6
2014,110.2
2015,67.4
2016,92.7
2017,123.4
2018,69.5
