UF,SP
Cidade,CASA BRANCA
Nome Posto,FAZENDA DA CACHOEIRA
Latitude,-21.644444444444446
Longitude,-47.09277777777778
Codigo,2147165
Qtd. Anos,40
Ano,Maxima
1981,90.6
1982,76.4
1983,60.7
1984,79.4
1985,58.2
1986,158.5
1987,57
1988,48
1989,70
1990,57
1991,81
1992,60
1993,54
1994,50
1995,82
1996,81
1997,61
1998,64
1999,96.7
2000,105.6
2001,64.9
2002,85.9
2003,65.9
2004,93.9
2005,107
2006,119
2007,122.9
2008,96
2009,68
2010,44.8
2011,157.9
2012,93.6
2013,75.5
2014,36
2015,63.4
2016,46.3
2017,70
2018,54.6
2019,97.3
2020,83.7
