UF,SP
Cidade,BARUERI
Nome Posto,BAIXO COTIA
Latitude,-23.55
Longitude,-46.86666666666667
Codigo,2346002
Qtd. Anos,78
Ano,Maxima
1937,60
1938,80
1939,54.3
1940,60.3
1941,48.6
1942,63.3
1943,70.8
1944,68.5
1945,70.1
1946,60.4
1947,45
1948,50.7
1951,41.2
1953,69.5
1954,11.5
1955,80.7
1956,80
1957,80
1958,62.7
1959,51
1960,70
1961,61
1962,46
1963,52
1964,70.5
1965,90
1966,100
1967,70
1968,80.3
1969,115.8
1970,132.3
1971,51.4
1972,111.6
1973,57.2
1974,78.1
1975,104.7
1976,66.9
1977,93.8
1978,90
1979,66.1
1980,53.1
1981,50.6
1982,80.1
1983,104.3
1984,52.7
1985,42.9
1986,43
1987,80
1988,66.6
1989,94
1990,91.5
1991,70.8
1992,51.1
1993,54.9
1994,80.4
1995,74.6
1996,89.1
1997,60.7
1998,69.7
1999,66
2000,53.1
2001,87.5
2002,69.8
2003,72.5
2004,103.3
2005,108
2006,74.5
2007,57.9
2008,65
2009,79.2
2010,54.1
2011,84.2
2012,79.3
2013,88.3
2014,82.1
2015,92.8
2016,94.6
2017,93.6
