UF,SP
Cidade,GUAPIARA
Nome Posto,BAIRRO DO PINHEIRO
Latitude,-24.183333333333334
Longitude,-48.5
Codigo,2448007
Qtd. Anos,60
Ano,Maxima
1939,59.4
1940,32.7
1941,80.5
1942,50.9
1943,50.9
1944,40.8
1945,50.5
1946,30.8
1947,42.6
1948,50.6
1949,46
1950,62.6
1951,60
1952,80.6
1953,40.6
1954,50.6
1955,46.9
1956,50.8
1957,54.4
1958,47.8
1959,48.5
1960,70.8
1961,80.4
1962,38.8
1963,48.4
1964,29.4
1965,28.8
1966,30.6
1967,26.2
1968,46.5
1969,8
1970,45.6
1971,87.5
1972,74.4
1973,65
1974,88.1
1975,59
1976,64.4
1977,56.8
1978,54.2
1979,52.9
1980,64.4
1981,63
1982,67.8
1983,84
1984,72.8
1985,41.8
1986,78.5
1987,92.5
1988,56.4
1989,154
1990,89.9
1991,94
1992,59.1
1993,72.1
1994,60.5
1995,45
1996,53.4
1997,112
1998,152.7
