UF,SP
Cidade,CASA BRANCA
Nome Posto,VENDA BRANCA
Latitude,-21.933333333333334
Longitude,-47.13333333333333
Codigo,2147073
Qtd. Anos,45
Ano,Maxima
1970,89
1971,63.3
1972,87
1973,68.7
1974,62.9
1975,70
1976,67.2
1977,77
1978,85.1
1979,64.6
1980,96.8
1981,73.2
1982,66.4
1983,85
1984,60.3
1985,80.6
1986,90.5
1987,99.7
1988,93.6
1989,71.6
1990,81.3
1991,72.4
1992,73.3
1993,65.9
1994,86.5
1995,93.5
1996,79.1
1997,86.5
1998,69.9
1999,116.4
2000,85.5
2001,79.4
2002,87.1
2003,68.7
2004,128.1
2005,80.9
2006,75
2007,84.2
2008,82
2009,83
2010,62.5
2011,92
2012,63
2013,60
2014,47
